PM10_forecast,temp_forecast,humidity_forecast,rain_forecast,wind_forecast,hour,PM10_lower,PM10_upper,temp_lower,temp_upper,humidity_lower,humidity_upper,rain_lower,rain_upper,wind_lower,wind_upper
12.127424,16.952686,57.810047,0.006270349,9.147045,84,4.4613132,21.97091,9.144817,24.024616,39.484676,72.56065,-0.01076968,0.0022106469,3.5271893,15.362762
12.828468,16.145348,58.981773,-0.000761345,9.15649,85,4.6861877,26.41895,9.269875,23.885288,46.064945,75.509125,-0.012084663,0.0038167983,3.3501625,15.321653
12.742365,16.27631,57.80177,0.04235015,9.177776,86,4.2603264,24.125103,10.633952,23.197674,44.75267,71.478905,-0.008564249,0.0038330704,3.4267545,16.289532
13.303519,16.081896,57.980698,0.0060049593,9.054058,87,4.952349,25.886913,9.554318,22.87152,43.585144,72.4329,-0.010081917,0.004079774,3.4725537,15.713652
13.202998,16.131695,57.16432,-0.0027118623,9.181355,88,4.5254946,24.699062,9.410582,22.502712,43.793304,71.88397,-0.010924444,0.0025944412,3.0975413,16.01651
12.04066,15.823131,57.90382,-0.00067971647,8.654197,89,3.665452,22.83691,8.612102,23.172773,43.229954,72.671486,-0.009318367,0.003397122,3.8709288,15.664297
13.150242,16.417461,58.450706,-0.0026009083,8.517305,90,4.8468037,24.274193,9.989689,23.596863,45.55921,71.54065,-0.0076919645,0.002210766,3.8533363,14.529271
12.974393,16.693628,57.214622,-0.0031982362,8.744023,91,3.9459448,22.392628,9.839507,24.738123,41.497345,70.75621,-0.00818269,0.003825441,3.8249688,15.037918
12.417794,16.684235,57.23476,-0.0029841065,8.958472,92,4.137168,18.798218,10.142675,22.84388,43.558895,71.306625,-0.009734198,0.0039000362,3.8944798,14.779554
12.315995,16.928358,57.755863,-0.0030864775,8.721379,93,3.9628239,22.805225,10.572142,24.677952,43.469433,72.193596,-0.009365752,0.0028743,3.9366183,14.887994
11.459023,16.012886,57.69964,0.005152628,8.766801,94,3.4689312,19.689697,9.603952,21.655392,44.663902,70.45924,-0.007653713,0.00407961,4.370055,13.98958
11.876642,17.667934,58.448235,-0.0013937652,8.803747,95,4.1350794,20.948689,11.336293,24.282684,44.40535,72.07498,-0.008661047,0.005454153,3.8937626,13.815281
11.047184,16.052498,58.998795,-0.0026039332,9.060807,96,3.4443102,21.965645,9.760219,23.261116,46.099922,71.66861,-0.0076898634,0.003271699,4.1428924,15.537909
11.26372,16.533,58.80048,0.001400739,9.740765,97,3.0156507,22.2,8.689893,24.022312,47.013542,72.27597,-0.009672746,0.0036558062,3.5631576,17.174263
11.524448,16.06144,59.589603,0.0023402125,9.075369,98,3.2798824,21.919205,9.611949,22.628017,47.983322,72.921234,-0.008629546,0.0035421103,4.368698,13.832365
11.02426,16.233479,59.725403,-0.012173429,9.313613,99,3.3382397,20.423168,10.324877,23.58794,48.199306,75.22304,-0.007686019,0.0030221343,3.866593,15.501434
11.276241,16.235613,59.03268,0.007666528,9.562393,100,2.6861296,21.139439,10.05927,21.45899,47.681145,73.99262,-0.009148985,0.0024386644,4.8881283,16.913664
10.944804,16.734297,58.966465,0.00039631128,9.487918,101,3.175333,21.60521,10.103283,23.591614,44.658073,72.12068,-0.008871913,0.002034828,3.8936567,16.093536
11.5985,16.398684,58.44526,0.0026018918,9.66458,102,3.6441803,24.139185,10.73151,23.38763,45.343964,71.957146,-0.011061445,0.0023756474,4.062564,16.07483
11.20756,15.309511,58.815136,-0.0027332902,9.62999,103,3.979557,21.703194,9.540552,20.508333,45.31928,70.8983,-0.009886786,0.0033651888,4.2386003,16.545696
11.64988,16.779438,58.381325,-0.0013409257,9.569321,104,4.527524,21.408827,10.3459215,22.637518,45.411926,70.50585,-0.008853361,0.0034374297,4.246468,16.929585
11.625989,16.737549,57.905773,-0.0019622892,10.247422,105,3.875022,22.37689,10.61602,22.498093,43.30166,72.0827,-0.0084114075,0.0033722073,4.593957,18.110207
11.124297,17.372116,58.21799,0.0017554015,9.758984,106,4.1404724,20.523064,10.77142,24.11618,45.34468,71.8855,-0.009173319,0.0032330006,3.8908486,16.995611
10.874445,16.00694,57.7225,-0.0024654418,9.737615,107,4.1075144,21.169125,8.491709,22.923233,45.27375,72.1971,-0.008054972,0.0030142963,3.942927,16.95423
10.641931,16.487347,57.175037,-0.0030398667,9.6903715,108,3.3939133,18.758823,10.27212,22.039846,44.005455,70.232735,-0.010053873,0.0027327687,3.6402655,16.467844
10.488158,15.863505,57.22496,-0.003603056,9.740545,109,3.7352486,18.857985,9.591161,22.072123,44.457684,72.04532,-0.00918588,0.0048158765,4.3078094,17.542942
10.616117,17.184893,57.37269,-0.0027860552,9.512328,110,2.6480827,19.907543,10.290005,25.042337,42.83435,72.5471,-0.008752033,0.0040090233,3.4327087,17.091728
10.94899,16.60544,57.202927,-0.006232843,10.016614,111,3.5736809,22.39544,8.754645,25.223644,43.402634,71.91901,-0.010414094,0.001654759,3.9700146,18.788137
10.985497,16.387756,56.932903,0.015486702,10.047232,112,3.3482847,20.737766,8.741123,23.96666,41.4799,69.35583,-0.010981992,0.003716275,3.7245688,17.37137
10.4787655,15.468391,57.394085,0.09120108,10.447965,113,4.352415,20.966862,8.720131,22.047956,43.023506,73.49289,-0.0090992,0.0034509003,3.6802845,18.322124
10.2031975,16.051584,56.17283,0.004032731,9.875012,114,3.6397028,19.146706,9.479256,22.845764,41.47754,70.101974,-0.008792773,0.0017002225,3.8288245,16.294207
9.479513,15.331428,56.0168,-0.0059175044,10.734964,115,2.946476,16.956966,7.544036,23.256315,43.18508,72.238266,-0.010065302,0.0027079433,4.9536443,21.253345
10.044923,16.51806,56.94445,0.019670457,9.757147,116,3.4725142,18.588999,9.542671,23.003231,44.086143,71.79297,-0.0076473355,0.0032437593,4.035705,17.90773
11.133938,16.150852,57.453953,-0.0011483431,10.221307,117,3.5924597,20.83469,9.554991,23.62266,44.734993,72.11534,-0.008752137,0.004284784,3.3140392,18.62267
11.329842,16.39026,57.403126,0.02892439,9.991829,118,4.4349985,21.339218,9.830127,22.973019,44.21261,71.06712,-0.0077861995,0.004700884,3.7530355,18.531782
11.3963585,15.878948,57.732006,0.0034256428,9.584789,119,3.3175297,20.989613,9.129288,23.016727,43.224487,73.10506,-0.008957595,0.0037521124,3.7966185,17.824932
10.969168,16.414865,58.224358,0.0068131685,9.718205,120,3.8366184,20.45864,10.077325,22.763584,44.71747,73.01855,-0.008759126,0.004828304,3.6207066,20.43028
12.271867,17.46569,58.698574,0.016061261,8.587804,121,4.485978,24.078972,10.316554,26.637627,44.43135,72.15101,-0.007294953,0.011217967,3.3148932,16.026768
10.679158,17.149569,59.272457,0.036635213,8.523967,122,3.594226,19.999128,10.794898,24.211548,46.772507,72.47569,-0.008922756,0.007637322,2.8194766,15.627825
11.521496,15.997143,58.01571,0.014823824,8.76376,123,3.7439718,23.11854,9.727787,23.112556,47.014557,70.51031,-0.0074864626,0.0049509853,3.001258,15.938628
10.739925,16.63705,58.01022,0.0016642213,9.141002,124,3.1801481,20.60793,10.782209,22.66864,47.748177,70.29018,-0.01018329,0.0021557212,3.9246063,15.835867
10.173498,16.797672,57.72733,-0.00074476004,9.555671,125,2.9657812,19.055117,9.647713,23.995424,45.60154,69.04631,-0.008087307,0.004851401,4.588093,15.821409
11.082061,15.791952,56.945564,-0.0036723614,9.172266,126,3.1036596,20.533772,9.0526285,22.360558,45.637836,67.48165,-0.009074956,0.0016026348,3.8874125,16.384745
10.833721,17.438255,57.545753,-0.0031848997,9.330412,127,3.0248995,20.03376,11.38661,25.115004,44.624023,71.17944,-0.008716673,0.002596438,4.465347,16.979214
11.05009,16.518738,57.82481,-0.0045839995,9.109863,128,4.0211563,22.171986,10.037871,23.455181,44.909645,70.263374,-0.009652391,0.0034221262,4.3785295,15.360851
10.972052,16.249437,57.673702,0.0045354664,9.097199,129,4.395034,21.422977,10.113078,22.293808,45.55314,68.34346,-0.008554071,0.003218621,3.8268538,15.006843
11.24055,16.469215,57.372604,0.027418539,9.38688,130,3.2584553,21.0907,9.723393,23.77879,45.33899,69.96439,-0.007253915,0.004481107,3.937766,16.694386
11.636051,17.489393,57.765854,0.079825185,9.057491,131,3.8685493,21.052841,10.762336,24.548628,45.49423,69.68694,-0.00773184,0.00336352,3.483697,15.393869
10.631581,15.924712,58.357502,0.044734456,9.963493,132,3.6270332,22.134726,8.638705,23.174284,46.966312,70.16045,-0.008884296,0.0033699423,3.5097613,16.349083
10.700069,16.242825,57.676582,0.009197116,9.520212,133,3.4394932,20.920734,9.564247,22.516535,45.97483,69.812035,-0.008472115,0.004120171,4.2211494,16.739141
10.469228,16.885313,58.74452,-0.0026562214,9.727998,134,3.0918703,19.152287,10.221396,24.265244,48.886894,72.01214,-0.009175301,0.002955094,3.439085,17.138641
9.752359,16.19767,58.42342,-0.0026182383,9.183405,135,2.741148,17.161049,9.394652,22.930063,48.630627,71.16412,-0.0077756643,0.0024396926,3.7102432,16.717503
9.867388,16.875557,58.622265,-0.0029524267,8.781953,136,2.9303818,16.999416,9.965865,23.819532,48.11299,71.188736,-0.009987548,0.0037261993,3.5198612,16.449883
10.790747,15.9420595,58.14455,-0.0036536902,9.400451,137,3.4319992,19.370094,8.792385,22.980238,46.565666,69.242455,-0.0092128515,0.0038686395,4.052333,15.452545
10.91975,16.465916,57.929565,-0.0032674223,9.123889,138,3.593749,20.165741,10.510669,23.069645,46.95162,70.176865,-0.008282751,0.0019794703,3.0353012,17.316235
10.818768,16.739628,57.77014,-0.0032467395,9.074378,139,3.7953863,19.121235,10.522615,23.15352,45.694633,69.224365,-0.008757934,0.0015491098,3.6799083,16.001177
10.548845,16.443274,58.64698,-0.002951175,8.749259,140,3.6165628,18.924217,10.352156,23.763845,46.446873,72.258385,-0.009052455,0.002010107,3.6187596,13.973557
10.9775,16.539091,58.959545,0.008783266,9.076261,141,4.717127,18.165356,9.770933,22.719494,47.262165,69.66324,-0.008557215,0.0025704056,3.6900187,16.52481
10.516152,17.151745,59.265434,-0.06843753,8.77571,142,4.453266,19.371677,10.354862,23.071114,49.269405,70.9183,-0.009984866,0.0033949316,3.5426226,17.16743
11.054128,16.576399,59.763966,0.012492254,8.592987,143,4.2818117,18.92991,10.96632,23.272243,48.505836,72.154106,-0.008953229,0.002738282,3.789145,15.99458
10.866663,17.218803,59.537792,0.007990569,8.81431,144,4.103635,20.153782,11.615013,23.78834,49.345215,71.651566,-0.009719014,0.0043545067,3.5900912,14.222291
10.705602,16.72962,60.229546,-0.0007915646,8.847353,145,4.945194,18.335155,9.528359,24.245113,49.894184,71.524925,-0.0076187253,0.004294321,3.6794772,16.802187
10.634303,16.425774,59.819683,-0.003191024,8.945435,146,4.610855,18.8169,9.220175,24.011372,49.827034,71.630905,-0.00921011,0.0020818114,3.8321295,15.710062
11.170968,16.399845,59.774143,-0.0034242272,8.952454,147,4.327855,19.967094,10.516946,22.317953,48.487534,72.48532,-0.010237545,0.0025780946,3.4172077,16.199644
11.207052,16.167149,59.32083,0.015441522,9.556207,148,3.554594,18.818335,9.328461,24.526068,48.676094,71.80431,-0.008316293,0.0036533922,3.5611796,17.131157
10.085914,17.101788,59.696934,0.015418142,9.416601,149,4.132204,15.856867,10.784341,23.464592,46.03494,72.70605,-0.0070513785,0.0032211542,3.4588065,15.995501
11.229226,15.458628,60.01466,0.003502071,9.136793,150,4.5608377,19.655901,10.617359,22.118946,48.14965,72.73812,-0.008393317,0.003862664,3.2884688,16.473055
11.824633,16.85721,59.442715,0.0030376613,9.34912,151,4.203328,23.378918,8.900323,23.855766,46.523216,71.2453,-0.0084178895,0.0023609847,3.4662352,18.839466
12.438582,16.186197,58.9104,0.008520573,9.74626,152,4.1372385,20.274755,10.529911,22.41411,47.896576,72.57858,-0.007931113,0.0021767318,3.534593,18.988068
13.009779,16.268404,58.307705,0.07590105,9.451188,153,4.2574396,23.911297,9.239891,23.698711,45.081203,72.2874,-0.008449733,0.0016433299,3.7104073,18.65654
12.778593,15.657221,59.0115,0.15092579,9.852517,154,3.260785,25.110073,9.049232,23.229116,44.81789,72.146965,-0.009790048,0.0037090033,3.6421146,20.605433
11.59818,17.276123,58.302208,-0.0027402192,9.282383,155,4.19963,22.051086,10.410673,24.906391,44.633522,71.33363,-0.008958131,0.0027867556,3.3175082,19.952093
11.832979,17.034403,57.496567,-0.0025200844,9.845013,156,3.5913267,21.057701,11.061111,23.351841,45.07244,70.96937,-0.00950703,0.0024387985,3.3191066,18.124651
11.711287,15.852412,57.504246,-0.0031518638,9.669642,157,3.632635,24.347294,9.779027,21.704487,46.20948,71.59821,-0.009569734,0.0036415607,4.2250843,17.25673
10.985451,17.21565,58.395947,-0.0032591522,9.645099,158,3.3418941,20.442656,10.328088,23.414156,46.783394,71.35185,-0.008704618,0.0023791343,3.6241012,19.070515
12.619728,15.878087,58.058388,-0.0015870035,9.820873,159,3.3400946,25.957954,9.098813,22.229195,42.727196,72.88039,-0.010015935,0.003672257,3.9528265,19.765926
12.816998,16.764372,56.96629,-0.0014412552,9.367387,160,3.9996386,24.874763,10.543114,23.877083,40.435528,71.68236,-0.0088651925,0.0033832192,3.6613379,19.220222
12.836763,16.70919,56.83176,-0.0034445077,9.133069,161,3.9106264,22.573452,9.636428,24.943209,42.043312,72.604324,-0.007953897,0.0018651783,3.289806,18.092928
11.823835,16.684032,56.685646,-0.009190097,9.319813,162,3.7657547,21.631805,8.983466,24.051083,42.105026,70.25152,-0.009290159,0.0030268729,2.9507852,17.298605
11.736292,17.547007,57.114258,-0.0051002204,9.235807,163,4.295534,22.555836,8.53797,25.640285,42.1612,70.75547,-0.010800526,0.0023483038,3.3342223,17.68568
12.3427105,17.461319,57.292217,-0.0032125413,9.098089,164,3.7617044,26.14312,10.582955,24.65815,42.175285,71.33394,-0.007847041,0.0043358356,3.1870375,18.748554
12.596555,16.544474,56.82483,-0.0032527149,9.321001,165,4.1486998,23.702198,9.654556,23.244404,38.53514,71.38047,-0.009210005,0.0031045675,3.7153149,18.224663
13.16942,17.186096,56.78342,-0.0030249506,8.881526,166,4.507516,23.978134,10.062753,25.163494,42.777397,70.38215,-0.010430023,0.0036185235,3.0671096,17.066383
12.333518,16.785969,56.965824,-0.0017358363,9.355617,167,3.347375,24.76778,9.031491,23.743008,41.73499,71.49831,-0.010457262,0.005940601,2.7309642,17.603186
12.47188,15.902096,56.69097,-0.002723977,9.400788,168,4.191058,24.938822,8.467559,22.697556,41.4141,71.53839,-0.008329451,0.0036572218,3.0744362,17.679977
